age,tenure_months,monthly_spend,num_transactions,last_login_days,support_tickets,is_active,total_spend,avg_transaction_value,gender_Male,country_India,country_UK,country_US,payment_method_Crypto,payment_method_PayPal,spend_per_transaction,activity_score,engagement_ratio,high_spender_flag,frequent_user_flag,customer_value_score,recency_frequency_ratio,target_churn
59,2,185.3608904683816,52,18,5,0,370.7217809367632,6.994750583712513,True,False,False,False,False,True,6.994750583712513,17.333333333333332,6.0,0,1,6425.844202903895,0.33962264150943394,1
25,54,108.87922179977724,35,17,7,1,5879.477977187971,163.31883269966588,False,False,False,True,False,False,163.31883269966588,0.6363636363636364,0.3090909090909091,0,0,3741.4859854832544,0.4722222222222222,0
38,48,221.92747377964565,5,2,5,1,10652.518741422991,1775.4197902371652,False,False,False,False,False,True,1775.4197902371652,0.10204081632653061,0.04081632653061224,1,0,1086.9917083084683,0.3333333333333333,0
48,26,275.3464325583192,14,26,5,1,7159.007246516298,477.2671497677532,True,False,False,True,False,False,477.2671497677532,0.5185185185185185,0.9629629629629629,1,0,3712.07783152697,1.7333333333333334,0
53,15,444.0167830548377,95,20,0,1,6660.251745822565,69.37762235231838,True,False,True,False,False,False,69.37762235231838,5.9375,1.25,1,1,39545.24474082148,0.20833333333333334,0
18,59,218.96999810728693,54,20,0,0,12919.229888329928,234.895088878726,True,True,False,False,False,True,234.89508887872597,0.9,0.3333333333333333,1,1,11627.306899496936,0.36363636363636365,0
43,5,25.262553503140808,98,23,7,1,126.31276751570404,1.2758865405626671,False,False,True,False,True,False,1.2758865405626671,16.333333333333332,3.8333333333333335,0,1,2063.108536089833,0.23232323232323232,1
59,48,433.89043008941087,32,8,2,0,20826.74064429172,631.1133528573248,False,False,False,True,True,False,631.1133528573248,0.6530612244897959,0.16326530612244897,1,0,13601.136747292552,0.24242424242424243,0
25,53,35.46337301617898,37,28,3,1,1879.5587698574857,49.46207289098646,True,False,True,False,False,False,49.46207289098646,0.6851851851851852,0.5185185185185185,0,0,1287.8458237912403,0.7368421052631579,0
41,55,273.4680425082198,46,1,2,1,15040.74233795209,320.01579442451253,False,False,True,False,True,False,320.01579442451253,0.8214285714285714,0.017857142857142856,1,0,12354.895491889216,0.02127659574468085,0
45,45,480.1749158553913,76,10,4,0,21607.871213492606,280.62170407133254,True,False,False,True,True,False,280.62170407133254,1.6521739130434783,0.21739130434782608,1,1,35699.96113533561,0.12987012987012986,0
19,58,27.43158038600736,3,11,2,1,1591.0316623884269,397.7579155971067,True,True,False,False,False,False,397.7579155971067,0.05084745762711865,0.1864406779661017,0,0,80.89991503669968,2.75,0
60,59,56.46093774316009,21,12,7,0,3331.1953268464454,151.41796940211114,True,False,True,False,False,False,151.41796940211114,0.35,0.2,0,0,1165.918364396256,0.5454545454545454,0
35,15,402.554074284313,93,1,9,0,6038.311114264695,64.23735227941165,False,True,False,False,True,False,64.23735227941165,5.8125,0.0625,0,1,35097.68335166354,0.010638297872340425,0
39,18,487.399142776621,92,15,3,1,8773.18456997918,94.33531795676537,False,False,False,True,True,False,94.33531795676537,4.842105263157895,0.7894736842105263,1,1,42480.68318095181,0.16129032258064516,0
50,54,493.66912726340274,13,10,9,0,26658.13287222375,1904.152348015982,True,True,False,False,False,False,1904.152348015982,0.23636363636363636,0.18181818181818182,1,0,6301.013224343795,0.7142857142857143,0
23,23,416.2921628036451,72,24,5,0,9574.719744483838,131.16054444498408,False,True,False,False,False,True,131.16054444498408,3.0,1.0,1,1,28724.159233451515,0.3287671232876712,0
38,57,216.5582136058649,44,14,7,0,12343.818175534298,274.3070705674288,False,True,False,False,False,True,274.3070705674288,0.7586206896551724,0.2413793103448276,1,0,9364.27585730188,0.3111111111111111,0
